strategy_a,strategy_b,expected_score_a,expected_score_b,mutual_cooperation_rate
AlwaysCooperate,AlwaysCooperate,2.989900,2.989900,0.980100
AlwaysCooperate,AlwaysDefect,0.040100,4.940100,0.009900
AlwaysCooperate,TitForTat,2.960402,3.009402,0.970398
AlwaysCooperate,GrimTrigger,2.960402,3.009402,0.970398
AlwaysCooperate,Pavlov,1.515000,3.965000,0.495000
AlwaysCooperate,Random50,1.515000,3.965000,0.495000
AlwaysCooperate,GenerousTitForTat,2.970235,3.002901,0.973632
AlwaysDefect,AlwaysCooperate,4.940100,0.040100,0.009900
AlwaysDefect,AlwaysDefect,1.029900,1.029900,0.000100
AlwaysDefect,TitForTat,1.069002,1.020002,0.000198
AlwaysDefect,GrimTrigger,1.069002,1.020002,0.000198
AlwaysDefect,Pavlov,2.985000,0.535000,0.005000
AlwaysDefect,Random50,2.985000,0.535000,0.005000
AlwaysDefect,GenerousTitForTat,2.359368,0.693368,0.003432
TitForTat,AlwaysCooperate,3.009402,2.960402,0.970398
TitForTat,AlwaysDefect,1.020002,1.069002,0.000198
TitForTat,TitForTat,2.250000,2.250000,0.250000
TitForTat,GrimTrigger,2.250000,2.250000,0.250000
TitForTat,Pavlov,2.250000,2.250000,0.250000
TitForTat,Random50,2.250000,2.250000,0.250000
TitForTat,GenerousTitForTat,2.969672,2.924268,0.901529
GrimTrigger,AlwaysCooperate,3.009402,2.960402,0.970398
GrimTrigger,AlwaysDefect,1.020002,1.069002,0.000198
GrimTrigger,TitForTat,2.250000,2.250000,0.250000
GrimTrigger,GrimTrigger,2.250000,2.250000,0.250000
GrimTrigger,Pavlov,2.250000,2.250000,0.250000
GrimTrigger,Random50,2.250000,2.250000,0.250000
GrimTrigger,GenerousTitForTat,2.969672,2.924268,0.901529
Pavlov,AlwaysCooperate,3.965000,1.515000,0.495000
Pavlov,AlwaysDefect,0.535000,2.985000,0.005000
Pavlov,TitForTat,2.250000,2.250000,0.250000
Pavlov,GrimTrigger,2.250000,2.250000,0.250000
Pavlov,Pavlov,2.951092,2.951092,0.960696
Pavlov,Random50,2.250000,2.250000,0.250000
Pavlov,GenerousTitForTat,2.926634,2.768080,0.839250
Random50,AlwaysCooperate,3.965000,1.515000,0.495000
Random50,AlwaysDefect,0.535000,2.985000,0.005000
Random50,TitForTat,2.250000,2.250000,0.250000
Random50,GrimTrigger,2.250000,2.250000,0.250000
Random50,Pavlov,2.250000,2.250000,0.250000
Random50,Random50,2.250000,2.250000,0.250000
Random50,GenerousTitForTat,2.821667,2.005000,0.331667
GenerousTitForTat,AlwaysCooperate,3.002901,2.970235,0.973632
GenerousTitForTat,AlwaysDefect,0.693368,2.359368,0.003432
GenerousTitForTat,TitForTat,2.924268,2.969672,0.901529
GenerousTitForTat,GrimTrigger,2.924268,2.969672,0.901529
GenerousTitForTat,Pavlov,2.768080,2.926634,0.839250
GenerousTitForTat,Random50,2.005000,2.821667,0.331667
GenerousTitForTat,GenerousTitForTat,2.970322,2.970322,0.943140
