noise,strategy,mean_expected_score,mean_mutual_cooperation
0.00,AlwaysCooperate,2.142857,0.714286
0.00,AlwaysDefect,2.333333,0.000000
0.00,TitForTat,2.285714,0.428571
0.00,GrimTrigger,2.285714,0.428571
0.00,Pavlov,2.464286,0.464286
0.00,Random50,2.333333,0.261905
0.00,GenerousTitForTat,2.523810,0.761905
0.01,AlwaysCooperate,2.135863,0.699204
0.01,AlwaysDefect,2.348196,0.003404
0.01,TitForTat,2.285582,0.410304
0.01,GrimTrigger,2.285582,0.410304
0.01,Pavlov,2.446818,0.435707
0.01,Random50,2.331667,0.261667
0.01,GenerousTitForTat,2.469744,0.699168
0.02,AlwaysCooperate,2.129168,0.684432
0.02,AlwaysDefect,2.362311,0.006946
0.02,TitForTat,2.285302,0.394899
0.02,GrimTrigger,2.285302,0.394899
0.02,Pavlov,2.432847,0.414868
0.02,Random50,2.330000,0.261429
0.02,GenerousTitForTat,2.429110,0.650292
0.03,AlwaysCooperate,2.122778,0.669965
0.03,AlwaysDefect,2.375682,0.010622
0.03,TitForTat,2.284983,0.381675
0.03,GrimTrigger,2.284983,0.381675
0.03,Pavlov,2.421012,0.398583
0.03,Random50,2.328333,0.261190
0.03,GenerousTitForTat,2.396962,0.610623
0.04,AlwaysCooperate,2.116696,0.655799
0.04,AlwaysDefect,2.388315,0.014427
0.04,TitForTat,2.284679,0.370156
0.04,GrimTrigger,2.284679,0.370156
0.04,Pavlov,2.410617,0.385235
0.04,Random50,2.326667,0.260952
0.04,GenerousTitForTat,2.370681,0.577509
0.05,AlwaysCooperate,2.110929,0.641929
0.05,AlwaysDefect,2.400214,0.018357
0.05,TitForTat,2.284413,0.359997
0.05,GrimTrigger,2.284413,0.359997
0.05,Pavlov,2.401270,0.373916
0.05,Random50,2.325000,0.260714
0.05,GenerousTitForTat,2.348718,0.549286
0.06,AlwaysCooperate,2.105479,0.628350
0.06,AlwaysDefect,2.411384,0.022407
0.06,TitForTat,2.284191,0.350948
0.06,GrimTrigger,2.284191,0.350948
0.06,Pavlov,2.392732,0.364075
0.06,Random50,2.323333,0.260476
0.06,GenerousTitForTat,2.330078,0.524843
0.07,AlwaysCooperate,2.100352,0.615058
0.07,AlwaysDefect,2.421828,0.026572
0.07,TitForTat,2.284013,0.342819
0.07,GrimTrigger,2.284013,0.342819
0.07,Pavlov,2.384846,0.355360
0.07,Random50,2.321667,0.260238
0.07,GenerousTitForTat,2.314079,0.503402
0.08,AlwaysCooperate,2.095552,0.602048
0.08,AlwaysDefect,2.431552,0.030848
0.08,TitForTat,2.283870,0.335465
0.08,GrimTrigger,2.283870,0.335465
0.08,Pavlov,2.377506,0.347532
0.08,Random50,2.320000,0.260000
0.08,GenerousTitForTat,2.300233,0.484395
0.09,AlwaysCooperate,2.091084,0.589316
0.09,AlwaysDefect,2.440560,0.035230
0.09,TitForTat,2.283756,0.328773
0.09,GrimTrigger,2.283756,0.328773
0.09,Pavlov,2.370634,0.340424
0.09,Random50,2.318333,0.259762
0.09,GenerousTitForTat,2.288178,0.467397
0.10,AlwaysCooperate,2.086952,0.576857
0.10,AlwaysDefect,2.448857,0.039714
0.10,TitForTat,2.283660,0.322653
0.10,GrimTrigger,2.283660,0.322653
0.10,Pavlov,2.364174,0.333917
0.10,Random50,2.316667,0.259524
0.10,GenerousTitForTat,2.277634,0.452082
